cycle,set,way,pc_sig,recency,hits,prefetch,dirty,reused,access_type,hit
9,1792,0,0,0,0,0,0,0,4,0
10,768,0,0,0,0,0,0,0,4,0
10,0,0,0,0,0,0,0,0,4,0
214,1920,0,0,0,0,0,0,0,4,0
215,896,0,0,0,0,0,0,0,4,0
215,0,1,0,0,0,0,0,0,4,0
419,1664,0,0,0,0,0,0,0,4,0
420,640,0,0,0,0,0,0,0,4,0
420,0,2,0,0,0,0,0,0,4,0
624,1344,0,0,0,0,0,0,0,4,0
625,320,0,0,0,0,0,0,0,4,0
625,0,3,0,0,0,0,0,0,4,0
829,69,0,0,0,0,0,0,0,4,0
830,69,0,0,0,0,0,0,0,4,0
830,5,0,0,0,0,0,0,0,4,0
1031,46,0,1563,0,0,0,0,0,0,0
1031,14,0,1528,0,0,0,0,0,0,0
1034,1944,0,1563,0,0,0,0,0,0,0
1035,920,0,1563,0,0,0,0,0,0,0
1035,24,0,1538,0,0,0,0,0,0,0
1035,24,0,1538,0,1,0,0,1,0,1
1036,14,0,1538,0,1,0,0,1,0,1
1037,24,0,1538,0,2,0,0,1,0,1
1037,1943,0,1528,0,0,0,0,0,0,0
1038,919,0,1528,0,0,0,0,0,0,0
1038,23,0,1472,0,0,0,0,0,0,0
1038,14,0,1478,0,2,0,0,1,0,1
1039,23,0,1478,0,1,0,0,1,0,1
1045,14,0,1484,0,3,0,0,1,0,1
1046,23,0,1484,0,2,0,0,1,0,1
1047,14,0,1538,0,4,0,0,1,0,1
1048,24,0,1538,0,3,0,0,1,0,1
1048,14,0,1528,0,5,0,0,1,0,1
1049,23,0,1528,0,3,0,0,1,0,1
1049,14,0,1538,0,6,0,0,1,0,1
1050,24,0,1538,0,4,0,0,1,0,1
1050,14,0,1568,0,7,0,0,1,0,1
1051,24,0,1568,0,5,0,0,1,0,1
1051,14,0,1472,0,8,0,0,1,0,1
1052,23,0,1472,0,4,0,0,1,0,1
1052,14,0,1538,0,9,0,0,1,0,1
1052,1983,0,0,0,0,0,0,0,4,0
1053,959,0,0,0,0,0,0,0,4,0
1053,24,0,1538,0,6,0,0,1,0,1
1053,63,0,0,0,0,0,0,0,4,0
1054,14,0,1528,0,10,0,0,1,0,1
1055,23,0,1528,0,5,0,0,1,0,1
1055,24,0,1538,0,7,0,0,1,0,1
1056,14,0,1575,0,11,0,0,1,0,1
1057,24,0,1575,0,8,0,0,1,0,1
1057,14,0,1472,0,12,0,0,1,0,1
1058,23,0,1472,0,6,0,0,1,0,1
1059,14,0,1518,0,13,0,0,1,0,1
1060,23,0,1518,0,7,0,0,1,0,1
1060,24,0,1538,0,9,0,0,1,0,1
1061,14,0,1568,0,14,0,0,1,0,1
1062,24,0,1568,0,10,0,0,1,0,1
1062,14,0,1472,0,15,0,0,1,0,1
1063,23,0,1472,0,8,0,0,1,0,1
1063,14,0,1538,0,16,0,0,1,0,1
1064,24,0,1538,0,11,0,0,1,0,1
1065,14,0,1568,0,17,0,0,1,0,1
1066,24,0,1568,0,12,0,0,1,0,1
1066,14,0,1472,0,18,0,0,1,0,1
1067,23,0,1472,0,9,0,0,1,0,1
1067,14,0,1664,0,19,0,0,1,0,1
1069,14,0,1692,0,20,0,0,1,0,1
1070,14,0,1728,0,21,0,0,1,0,1
1072,1946,0,1664,0,0,0,0,0,0,0
1073,922,0,1664,0,0,0,0,0,0,0
1073,26,0,1692,0,0,0,0,0,0,0
1074,1947,0,1728,0,0,0,0,0,0,0
1075,923,0,1728,0,0,0,0,0,0,0
1075,27,0,1728,0,0,0,0,0,0,0
1077,80,0,0,0,0,0,0,0,4,0
1078,80,0,0,0,0,0,0,0,4,0
1078,16,0,0,0,0,0,0,0,4,0
1078,92,0,0,0,0,0,0,0,4,0
1079,92,0,0,0,0,0,0,0,4,0
1079,28,0,0,0,0,0,0,0,4,0
1257,1279,0,0,0,0,0,0,0,4,0
1258,255,0,0,0,0,0,0,0,4,0
1258,63,1,0,0,0,0,0,0,4,0
1279,47,0,1045,0,0,0,0,0,0,0
1279,15,0,1045,0,0,0,0,0,0,0
1280,45,0,1840,0,0,0,0,0,0,0
1280,13,0,1864,0,0,0,0,0,0,0
1282,1296,0,1045,0,0,0,0,0,0,0
1283,272,0,1045,0,0,0,0,0,0,0
1283,16,0,1045,0,0,0,0,0,0,0
1284,1180,0,1840,0,0,0,0,0,0,0
1285,156,0,1840,0,0,0,0,0,0,0
1285,28,0,1840,0,0,0,0,0,0,0
1285,1181,0,1856,0,0,0,0,0,0,0
1286,157,0,1856,0,0,0,0,0,0,0
1286,29,0,1864,0,0,0,0,0,0,0
1286,13,0,1874,0,1,0,0,1,0,1
1287,29,0,1874,0,1,0,0,1,0,1
1288,15,0,1065,0,1,0,0,1,0,1
1289,16,0,1065,0,1,0,0,1,0,1
1290,15,0,1122,0,2,0,0,1,0,1
1290,13,0,2560,0,2,0,0,1,0,1
1292,13,0,2800,0,3,0,0,1,0,1
1292,1297,0,1094,0,0,0,0,0,0,0
1293,273,0,1094,0,0,0,0,0,0,0
1293,17,0,1122,0,0,0,0,0,0,0
1294,13,0,2624,0,4,0,0,1,0,1
1294,1192,0,2560,0,0,0,0,0,0,0
1295,168,0,2560,0,0,0,0,0,0,0
